timestamp,Z,Zscale,timestamp1
2018-07-11 09:04:00.006,0.785156,0.039606,2018-07-11 09:04:00
2018-07-11 09:04:00.045,0.78125,-0.07135,2018-07-11 09:04:00
2018-07-11 09:04:00.084,0.785156,0.039606,2018-07-11 09:04:00
2018-07-11 09:04:00.124,0.792969,0.261546,2018-07-11 09:04:00
2018-07-11 09:04:00.163,0.785156,0.039606,2018-07-11 09:04:00
2018-07-11 09:04:00.202,0.773438,-0.293261,2018-07-11 09:04:00
2018-07-11 09:04:00.242,0.785156,0.039606,2018-07-11 09:04:00
2018-07-11 09:04:00.281,0.792969,0.261546,2018-07-11 09:04:00
2018-07-11 09:04:00.320,0.789063,0.15059,2018-07-11 09:04:00
2018-07-11 09:04:00.360,0.777344,-0.182306,2018-07-11 09:04:00
2018-07-11 09:04:00.399,0.761719,-0.626157,2018-07-11 09:04:00
2018-07-11 09:04:00.438,0.75,-0.959053,2018-07-11 09:04:00
2018-07-11 09:04:00.478,0.710938,-2.068667,2018-07-11 09:04:00
2018-07-11 09:04:00.517,0.675781,-3.067354,2018-07-11 09:04:00
2018-07-11 09:04:00.556,0.667969,-3.289266,2018-07-11 09:04:00
2018-07-11 09:04:00.596,0.683594,-2.845414,2018-07-11 09:04:00
2018-07-11 09:04:00.635,0.695313,-2.512519,2018-07-11 09:04:00
2018-07-11 09:04:00.674,0.707031,-2.179651,2018-07-11 09:04:00
2018-07-11 09:04:00.714,0.726563,-1.624816,2018-07-11 09:04:00
2018-07-11 09:04:00.753,0.714844,-1.957711,2018-07-11 09:04:00
2018-07-11 09:04:00.792,0.707031,-2.179651,2018-07-11 09:04:00
2018-07-11 09:04:00.832,0.710938,-2.068667,2018-07-11 09:04:00
2018-07-11 09:04:00.871,0.714844,-1.957711,2018-07-11 09:04:00
2018-07-11 09:04:00.910,0.71875,-1.846756,2018-07-11 09:04:00
2018-07-11 09:04:00.950,0.730469,-1.51386,2018-07-11 09:04:00
2018-07-11 09:04:00.989,0.730469,-1.51386,2018-07-11 09:04:00
2018-07-11 09:04:01.028,0.738281,-1.291948,2018-07-11 09:04:01
2018-07-11 09:04:01.068,0.734375,-1.402904,2018-07-11 09:04:01
2018-07-11 09:04:01.107,0.738281,-1.291948,2018-07-11 09:04:01
2018-07-11 09:04:01.146,0.75,-0.959053,2018-07-11 09:04:01
2018-07-11 09:04:01.186,0.746094,-1.070009,2018-07-11 09:04:01
2018-07-11 09:04:01.225,0.75,-0.959053,2018-07-11 09:04:01
2018-07-11 09:04:01.264,0.753906,-0.848097,2018-07-11 09:04:01
2018-07-11 09:04:01.304,0.75,-0.959053,2018-07-11 09:04:01
2018-07-11 09:04:01.343,0.757813,-0.737113,2018-07-11 09:04:01
2018-07-11 09:04:01.382,0.765625,-0.515201,2018-07-11 09:04:01
2018-07-11 09:04:01.422,0.757813,-0.737113,2018-07-11 09:04:01
2018-07-11 09:04:01.461,0.765625,-0.515201,2018-07-11 09:04:01
2018-07-11 09:04:01.500,0.769531,-0.404246,2018-07-11 09:04:01
2018-07-11 09:04:01.540,0.769531,-0.404246,2018-07-11 09:04:01
2018-07-11 09:04:01.579,0.773438,-0.293261,2018-07-11 09:04:01
2018-07-11 09:04:01.618,0.773438,-0.293261,2018-07-11 09:04:01
2018-07-11 09:04:01.658,0.78125,-0.07135,2018-07-11 09:04:01
2018-07-11 09:04:01.697,0.777344,-0.182306,2018-07-11 09:04:01
2018-07-11 09:04:01.736,0.777344,-0.182306,2018-07-11 09:04:01
2018-07-11 09:04:01.776,0.78125,-0.07135,2018-07-11 09:04:01
2018-07-11 09:04:01.815,0.78125,-0.07135,2018-07-11 09:04:01
2018-07-11 09:04:01.854,0.78125,-0.07135,2018-07-11 09:04:01
2018-07-11 09:04:01.894,0.785156,0.039606,2018-07-11 09:04:01
2018-07-11 09:04:01.933,0.777344,-0.182306,2018-07-11 09:04:01
2018-07-11 09:04:01.972,0.777344,-0.182306,2018-07-11 09:04:01
2018-07-11 09:04:02.012,0.785156,0.039606,2018-07-11 09:04:02
2018-07-11 09:04:02.051,0.792969,0.261546,2018-07-11 09:04:02
2018-07-11 09:04:02.090,0.785156,0.039606,2018-07-11 09:04:02
2018-07-11 09:04:02.130,0.785156,0.039606,2018-07-11 09:04:02
2018-07-11 09:04:02.169,0.789063,0.15059,2018-07-11 09:04:02
2018-07-11 09:04:02.208,0.78125,-0.07135,2018-07-11 09:04:02
2018-07-11 09:04:02.248,0.78125,-0.07135,2018-07-11 09:04:02
2018-07-11 09:04:02.287,0.792969,0.261546,2018-07-11 09:04:02
